aircraft_id,tail_number,model,manufacturer,engine_model,first_service_dt,status,cycles_total,hours_total
A00001,EC-001AB,A350-900,Airbus,GEnx-1B,2018-12-23,active,30089,5878
A00002,EC-002AB,B787-9,Boeing,CFM56-7B,2018-04-05,active,13349,38999
A00003,EC-003AB,A350-900,Airbus,Trent XWB,2011-10-07,maintenance,47364,23814
A00004,EC-004AB,B737-800,Boeing,Trent XWB,2010-08-14,storage,24254,52272
A00005,EC-005AB,E190,Embraer,GEnx-1B,2018-01-10,active,26984,19151
A00006,EC-006AB,E190,Embraer,GE CF34,2014-02-14,maintenance,24604,45561
A00007,EC-007AB,A350-900,Airbus,CFM56-7B,2021-08-20,active,998,77414
A00008,EC-008AB,B737-800,Boeing,GE CF34,2012-07-07,active,42411,29007
A00009,EC-009AB,A350-900,Airbus,GE CF34,2023-08-01,maintenance,27364,61683
A00010,EC-010AB,E190,Embraer,GEnx-1B,2020-04-19,active,43246,27031
A00011,EC-011AB,B787-9,Boeing,GEnx-1B,2020-02-19,active,4928,73119
A00012,EC-012AB,E190,Embraer,GEnx-1B,2014-09-26,active,6358,5298
A00013,EC-013AB,E190,Embraer,CFM56-7B,2013-09-14,active,15637,64252
A00014,EC-014AB,A350-900,Airbus,Trent XWB,2016-08-01,active,23019,36950
A00015,EC-015AB,A350-900,Airbus,CFM56-7B,2019-04-04,maintenance,40376,70295
A00016,EC-016AB,A350-900,Airbus,GE CF34,2021-03-26,maintenance,7711,25338
A00017,EC-017AB,A350-900,Airbus,GE CF34,2023-10-18,maintenance,32238,19777
A00018,EC-018AB,B787-9,Boeing,GEnx-1B,2022-05-07,active,6736,27631
A00019,EC-019AB,B737-800,Boeing,GE CF34,2010-08-05,active,30458,30552
A00020,EC-020AB,B787-9,Boeing,GEnx-1B,2018-09-26,maintenance,20801,73225
A00021,EC-021AB,B787-9,Boeing,GE CF34,2015-11-25,active,49198,74827
A00022,EC-022AB,A320-200,Airbus,CFM56-7B,2018-12-24,active,45228,54432
A00023,EC-023AB,B787-9,Boeing,GEnx-1B,2013-09-21,active,6723,14664
A00024,EC-024AB,A350-900,Airbus,GEnx-1B,2022-10-18,active,14720,72097
